id,title,overview,release_date,poster_path,youtube_trailer_id,vote_average,vote_count
9273,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",1995-11-10,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,DfqPjRMsRP0,6.3,4502
11517,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",1995-11-21,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,5Odo80-WFgM,5.9,852
8012,Get Shorty,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",1995-10-20,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,fvBx0x9IJnk,6.5,1197
1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,1995-10-27,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,7RaBcFSABEM,6.5,1237
9691,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",1995-10-06,/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,XCuD8Q_Y10Q,6.5,1689
12665,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",1995-10-27,/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,lGp4WXcVEno,7.0,705
451,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1995-10-27,/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,PW_piBbb_lc,7.2,1629
16420,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1995-12-15,/kyevuYzW36wKadiE8lftLac5VwQ.jpg,WIIjya_5Oro,6.3,148
9263,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",1995-10-20,/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,RQLVzTtt2Ws,6.9,472
17015,Persuasion,"In early 19th-century England, dire financial straits reacquaint the aristocratic Anne Elliot with her wealthy ex-fiance Frederick Wentworth. The two must choose between either putting the past behind them or listening to their hearts.",1995-05-01,/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,u4T5dl1isp8,7.1,142
