Date,Buy Price,Sell Price
2023-04-08,66350000,67050000
2023-04-09,66350000,67050000
2023-04-10,66400000,67000000
2023-04-11,66400000,67000000
2023-04-12,66400000,67000000
2023-04-13,66450000,67000000
2023-04-14,66500000,67100000
2023-04-15,66350000,67000000
2023-04-16,66350000,67000000
2023-04-17,66400000,67000000
2023-04-18,66450000,67000000
2023-04-19,66400000,66950000
2023-04-20,66400000,66950000
2023-04-21,66400000,66950000
2023-04-22,66400000,66950000
2023-04-23,66400000,66950000
2023-04-24,66400000,66950000
2023-04-25,66400000,67000000
2023-04-26,66450000,67050000
2023-04-27,66500000,67100000
2023-04-28,66550000,67150000
2023-04-29,66550000,67150000
2023-04-30,66550000,67150000
2023-05-01,66550000,67150000
2023-05-02,66550000,67150000
2023-05-03,66550000,67250000
2023-05-04,66600000,67200000
2023-05-05,66550000,67150000
2023-05-06,66400000,67100000
2023-05-07,66400000,67100000
2023-05-08,66450000,67050000
2023-05-09,66550000,67150000
2023-05-10,66500000,67100000
2023-05-11,66600000,67200000
2023-05-12,66500000,67100000
2023-05-13,66500000,67100000
2023-05-14,66500000,67100000
2023-05-15,66600000,67200000
2023-05-16,66550000,67150000
2023-05-17,66450000,67050000
2023-05-18,66500000,67100000
2023-05-19,66550000,67150000
2023-05-20,66550000,67150000
2023-05-21,66550000,67150000
2023-05-22,66600000,67150000
2023-05-23,66500000,67050000
2023-05-24,66450000,67050000
2023-05-25,66400000,67000000
2023-05-26,66350000,66950000
2023-05-27,66350000,66950000
2023-05-28,66350000,66950000
2023-05-29,66350000,66950000
2023-05-30,66350000,66950000
2023-05-31,66450000,67050000
2023-06-01,66400000,67000000
2023-06-02,66400000,67000000
2023-06-03,66350000,66950000
2023-06-04,66350000,66950000
2023-06-05,66400000,67000000
2023-06-06,66400000,67000000
2023-06-07,66400000,67000000
2023-06-08,66400000,67000000
2023-06-09,66450000,67050000
2023-06-10,66450000,67050000
2023-06-11,66450000,67050000
2023-06-12,66450000,67050000
2023-06-13,66450000,67050000
2023-06-14,66400000,67000000
2023-06-15,66500000,67100000
2023-06-16,66550000,67150000
2023-06-17,66500000,67100000
2023-06-18,66500000,67100000
2023-06-19,66450000,67050000
2023-06-20,66450000,67050000
2023-06-21,66350000,66950000
2023-06-22,66400000,67000000
2023-06-23,66400000,67000000
2023-06-24,66400000,67000000
2023-06-25,66400000,67000000
2023-06-26,66450000,67050000
2023-06-27,66350000,66950000
2023-06-28,66350000,66950000
2023-06-29,66400000,67000000
2023-06-30,66400000,67000000
2023-07-01,66400000,67000000
2023-07-02,66400000,67000000
2023-07-03,66400000,67000000
2023-07-04,66450000,67050000
2023-07-05,66350000,66950000
2023-07-06,66400000,67000000
2023-07-07,66450000,67050000
2023-07-08,66450000,67050000
2023-07-09,66450000,67050000
2023-07-10,66400000,67050000
2023-07-11,66500000,67150000
2023-07-12,66550000,67200000
2023-07-13,66700000,67350000
2023-07-14,66700000,67350000
2023-07-15,66700000,67350000
2023-07-16,66700000,67350000
2023-07-17,66550000,67250000
2023-07-18,66500000,67200000
2023-07-19,66500000,67200000
2023-07-20,66550000,67250000
2023-07-21,66500000,67200000
2023-07-22,66500000,67200000
2023-07-23,66500000,67200000
2023-07-24,66500000,67200000
2023-07-25,66550000,67250000
2023-07-26,66550000,67250000
2023-07-27,66550000,67250000
2023-07-28,66550000,67250000
2023-07-29,66550000,67250000
2023-07-30,66550000,67250000
2023-07-31,66550000,67250000
2023-08-01,66600000,67300000
2023-08-02,66550000,67300000
2023-08-03,66550000,67300000
2023-08-04,66550000,67300000
2023-08-05,66550000,67300000
2023-08-06,66550000,67300000
2023-08-07,66600000,67350000
2023-08-08,66600000,67350000
2023-08-09,66600000,67350000
2023-08-10,66650000,67350000
2023-08-11,66800000,67500000
2023-08-12,66800000,67500000
2023-08-13,66800000,67500000
2023-08-14,66850000,67600000
2023-08-15,66900000,67650000
2023-08-16,66850000,67600000
2023-08-17,66900000,67650000
2023-08-18,66950000,67700000
2023-08-19,66950000,67750000
2023-08-20,66950000,67750000
2023-08-21,66900000,67700000
2023-08-22,66900000,67700000
2023-08-23,67100000,67900000
2023-08-24,67300000,68100000
2023-08-25,67200000,68050000
2023-08-26,67200000,68100000
2023-08-27,67200000,68100000
2023-08-28,67250000,68150000
2023-08-29,67300000,68200000
2023-08-30,67400000,68300000
2023-08-31,67600000,68300000
2023-09-01,67600000,68300000
2023-09-02,67600000,68300000
2023-09-03,67600000,68300000
2023-09-04,67600000,68300000
2023-09-05,67650000,68400000
2023-09-06,67700000,68450000
2023-09-07,67900000,68650000
2023-09-08,68050000,68950000
2023-09-09,68050000,68850000
2023-09-10,68050000,68850000
2023-09-11,68100000,68900000
2023-09-12,68050000,68850000
2023-09-13,67950000,68750000
2023-09-14,67800000,68600000
2023-09-15,67900000,68800000
2023-09-16,68100000,69000000
2023-09-17,68100000,69000000
2023-09-18,68400000,69250000
2023-09-19,68550000,69400000
2023-09-20,68550000,69400000
2023-09-21,68400000,69300000
2023-09-22,68250000,69150000
2023-09-23,68250000,69150000
2023-09-24,68250000,69150000
2023-09-25,68200000,69050000
2023-09-26,68100000,68900000
2023-09-27,68050000,68850000
2023-09-28,68050000,68850000
2023-09-29,68150000,68950000
2023-09-30,68150000,68950000
2023-10-01,68150000,68950000
2023-10-02,68150000,69050000
2023-10-03,68150000,69050000
2023-10-04,68050000,68950000
2023-10-05,68100000,69000000
2023-10-06,68250000,69150000
2023-10-07,68250000,69250000
2023-10-08,68250000,69250000
2023-10-09,68800000,69700000
2023-10-10,68850000,69750000
2023-10-11,68850000,69750000
2023-10-12,69450000,70350000
2023-10-13,69350000,70200000
2023-10-14,69600000,71000000
2023-10-15,69600000,71000000
2023-10-16,69600000,70600000
2023-10-17,69250000,70150000
2023-10-18,69350000,70250000
2023-10-19,69650000,70600000
2023-10-20,70300000,71100000
2023-10-21,70300000,71100000
2023-10-22,70300000,71100000
2023-10-23,69950000,70800000
2023-10-24,69850000,70650000
2023-10-25,69500000,70300000
2023-10-26,69950000,70750000
2023-10-27,69900000,70800000
2023-10-28,70100000,71000000
2023-10-29,70100000,71000000
2023-10-30,69750000,70600000
2023-10-31,70050000,70800000
2023-11-01,70000000,70750000
2023-11-02,69800000,70600000
2023-11-03,69600000,70400000
2023-11-04,69000000,70000000
2023-11-05,68000000,69950000
2023-11-06,68500000,70000000
2023-11-07,68850000,69850000
2023-11-08,69450000,70350000
2023-11-09,69100000,70100000
2023-11-10,69300000,70300000
